#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A18754
#Date Time: 2019-04-23 16:58:36.115
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Wavegen 1 Condition: Rising
#Channel 1: Range: 500 mV/div Offset: -2.5 V
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 500 Hz
#Amplitude: 1 V
#Offset: 3 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: OFF
#Voltage: -1 V

Time (s),Channel 1 (V)
-0.0048125,1.9708
-0.00481125,1.97114
-0.00481,1.97114
-0.00480875,1.9708
-0.0048075,1.9708
-0.00480625,1.9708
-0.004805,1.9708
-0.00480375,1.9708
-0.0048025,1.97114
-0.00480125,1.9708
-0.0048,1.9708
-0.00479875,1.9708
-0.0047975,1.9708
-0.00479625,1.9708
-0.004795,1.97114
-0.00479375,1.9708
-0.0047925,1.9708
-0.00479125,1.9708
-0.00479,1.9708
-0.00478875,1.97114
-0.0047875,1.9708
-0.00478625,1.97114
-0.004785,1.97114
-0.00478375,1.97147
-0.0047825,1.97114
-0.00478125,1.97114
-0.00478,1.97114
-0.00477875,1.97114
-0.0047775,1.97114
-0.00477625,1.97114
-0.004775,1.9708
-0.00477375,1.97114
-0.0047725,1.9708
-0.00477125,1.9708
-0.00477,1.9708
-0.00476875,1.97047
-0.0047675,1.97047
-0.00476625,1.97114
-0.004765,1.97114
-0.00476375,1.9708
-0.0047625,1.97114
-0.00476125,1.97114
-0.00476,1.97147
-0.00475875,1.9708
-0.0047575,1.97114
-0.00475625,1.97114
-0.004755,1.97114
-0.00475375,1.9708
-0.0047525,1.9708
-0.00475125,1.97047
-0.00475,1.9708
-0.00474875,1.97013
-0.0047475,1.9708
-0.00474625,1.9708
-0.004745,1.9708
-0.00474375,1.97047
-0.0047425,1.97013
-0.00474125,1.9708
-0.00474,1.9708
-0.00473875,1.97114
-0.0047375,1.9708
-0.00473625,1.97047
-0.004735,1.9708
-0.00473375,1.9708
-0.0047325,1.9708
-0.00473125,1.9708
-0.00473,1.9708
-0.00472875,1.9708
-0.0047275,1.97114
-0.00472625,1.9708
-0.004725,1.9708
-0.00472375,1.97114
-0.0047225,1.97147
-0.00472125,1.97047
