#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A18754
#Date Time: 2019-04-23 16:56:17.970
#Sample rate: 7.69231e+06Hz
#Samples: 8192
#Trigger: Source: Wavegen 1 Condition: Rising
#Channel 1: Range: 100 mV/div Offset: -3 V
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 5 kHz
#Amplitude: 50 mV
#Offset: 3 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: OFF
#Voltage: -1 V

Time (s),Channel 1 (V)
-0.00050128,3.01131
-0.00050115,3.01164
-0.00050102,3.01164
-0.00050089,3.01131
-0.00050076,3.01131
-0.00050063,3.01131
-0.0005005,3.01131
-0.00050037,3.01164
-0.00050024,3.01164
-0.00050011,3.01164
-0.00049998,3.01131
-0.00049985,3.01097
-0.00049972,3.01063
-0.00049959,3.01097
-0.00049946,3.0103
-0.00049933,3.00996
-0.0004992,3.00963
-0.00049907,3.00963
-0.00049894,3.00828
-0.00049881,3.00828
-0.00049868,3.00761
-0.00049855,3.00694
-0.00049842,3.0066
-0.00049829,3.00559
-0.00049816,3.00458
-0.00049803,3.00391
-0.0004979,3.00223
-0.00049777,3.00156
-0.00049764,3.00021
-0.00049751,2.9992
-0.00049738,2.99819
-0.00049725,2.99718
-0.00049712,2.9955
-0.00049699,2.99517
-0.00049686,2.99382
-0.00049673,2.99248
-0.0004966,2.99147
-0.00049647,2.99012
-0.00049634,2.98945
-0.00049621,2.98777
-0.00049608,2.98676
-0.00049595,2.98575
-0.00049582,2.98508
-0.00049569,2.98373
-0.00049556,2.98239
-0.00049543,2.98104
-0.0004953,2.98004
-0.00049517,2.97903
-0.00049504,2.97802
-0.00049491,2.97667
-0.00049478,2.97533
-0.00049465,2.97466
-0.00049452,2.97331
-0.00049439,2.97264
-0.00049426,2.97163
-0.00049413,2.97062
-0.000494,2.96928
-0.00049387,2.9686
-0.00049374,2.96726
-0.00049361,2.96591
-0.00049348,2.96524
-0.00049335,2.96423
-0.00049322,2.96356
-0.00049309,2.96221
-0.00049296,2.96188
-0.00049283,2.96121
-0.0004927,2.95986
-0.00049257,2.95986
-0.00049244,2.95885
-0.00049231,2.95818
-0.00049218,2.95717
-0.00049205,2.9565
-0.00049192,2.95549
-0.00049179,2.95482
-0.00049166,2.95381
-0.00049153,2.95347
-0.0004914,2.9528
-0.00049127,2.95246
-0.00049114,2.95179
-0.00049101,2.95145
-0.00049088,2.95045
-0.00049075,2.94977
-0.00049062,2.94977
-0.00049049,2.94843
-0.00049036,2.94809
-0.00049023,2.94742
-0.0004901,2.94641
-0.00048997,2.94607
-0.00048984,2.9454
-0.00048971,2.94507
-0.00048958,2.94439
-0.00048945,2.94406
-0.00048932,2.94372
-0.00048919,2.94305
-0.00048906,2.94271
-0.00048893,2.94204
-0.0004888,2.94137
-0.00048867,2.94103
-0.00048854,2.94069
-0.00048841,2.94002
-0.00048828,2.93969
-0.00048815,2.93935
-0.00048802,2.93901
-0.00048789,2.93868
-0.00048776,2.938
-0.00048763,2.93767
-0.0004875,2.93666
-0.00048737,2.93666
-0.00048724,2.93632
-0.00048711,2.93531
-0.00048698,2.93531
-0.00048685,2.93464
-0.00048672,2.93363
-0.00048659,2.93363
-0.00048646,2.93397
-0.00048633,2.93296
-0.0004862,2.93229
-0.00048607,2.93229
-0.00048594,2.93162
-0.00048581,2.93162
-0.00048568,2.93094
-0.00048555,2.93094
-0.00048542,2.93094
-0.00048529,2.92994
-0.00048516,2.9296
-0.00048503,2.92926
-0.0004849,2.92893
-0.00048477,2.92792
-0.00048464,2.92825
-0.00048451,2.92825
-0.00048438,2.92758
-0.00048425,2.92725
-0.00048412,2.92758
-0.00048399,2.92657
-0.00048386,2.92657
-0.00048373,2.92657
-0.0004836,2.92624
-0.00048347,2.92624
-0.00048334,2.9259
-0.00048321,2.92523
-0.00048308,2.92456
-0.00048295,2.92523
-0.00048282,2.92456
-0.00048269,2.92388
-0.00048256,2.92355
-0.00048243,2.92355
-0.0004823,2.92321
-0.00048217,2.92321
-0.00048204,2.92254
-0.00048191,2.9222
-0.00048178,2.92254
-0.00048165,2.92153
-0.00048152,2.92187
-0.00048139,2.92153
-0.00048126,2.92153
-0.00048113,2.92153
-0.000481,2.92086
-0.00048087,2.92153
-0.00048074,2.92052
-0.00048061,2.92018
-0.00048048,2.92018
-0.00048035,2.92018
-0.00048022,2.91951
-0.00048009,2.91985
-0.00047996,2.91884
-0.00047983,2.91884
-0.0004797,2.91918
-0.00047957,2.91918
-0.00047944,2.91884
-0.00047931,2.9185
-0.00047918,2.91918
-0.00047905,2.91817
-0.00047892,2.91817
-0.00047879,2.9185
-0.00047866,2.91817
-0.00047853,2.91817
-0.0004784,2.9185
-0.00047827,2.9185
-0.00047814,2.91749
-0.00047801,2.91783
-0.00047788,2.91749
-0.00047775,2.91682
-0.00047762,2.91716
-0.00047749,2.91716
-0.00047736,2.91716
-0.00047723,2.91649
-0.0004771,2.91682
-0.00047697,2.91649
-0.00047684,2.91649
-0.00047671,2.91682
-0.00047658,2.91615
-0.00047645,2.91682
-0.00047632,2.91615
-0.00047619,2.91615
-0.00047606,2.91548
-0.00047593,2.91615
-0.0004758,2.91615
-0.00047567,2.91581
-0.00047554,2.91581
-0.00047541,2.91548
-0.00047528,2.91514
-0.00047515,2.91548
-0.00047502,2.91548
-0.00047489,2.91548
-0.00047476,2.9148
-0.00047463,2.91548
-0.0004745,2.91447
-0.00047437,2.9148
-0.00047424,2.91447
-0.00047411,2.9148
-0.00047398,2.91447
-0.00047385,2.91447
-0.00047372,2.91413
-0.00047359,2.91447
-0.00047346,2.91447
-0.00047333,2.9148
-0.0004732,2.9148
-0.00047307,2.9148
-0.00047294,2.9148
-0.00047281,2.91447
-0.00047268,2.91413
-0.00047255,2.91413
-0.00047242,2.91447
-0.00047229,2.9138
-0.00047216,2.91447
-0.00047203,2.9148
-0.0004719,2.9148
-0.00047177,2.91413
-0.00047164,2.9138
-0.00047151,2.91447
-0.00047138,2.91447
-0.00047125,2.91447
-0.00047112,2.91413
-0.00047099,2.9138
-0.00047086,2.91346
-0.00047073,2.91312
-0.0004706,2.91279
-0.00047047,2.91346
-0.00047034,2.91346
-0.00047021,2.91312
-0.00047008,2.9138
-0.00046995,2.91312
-0.00046982,2.91279
-0.00046969,2.91312
-0.00046956,2.91312
-0.00046943,2.91346
-0.0004693,2.91312
-0.00046917,2.91279
-0.00046904,2.91346
-0.00046891,2.91346
-0.00046878,2.91346
-0.00046865,2.91346
-0.00046852,2.91346
-0.00046839,2.91346
-0.00046826,2.91346
-0.00046813,2.91312
-0.000468,2.91312
-0.00046787,2.91346
-0.00046774,2.91346
-0.00046761,2.91245
-0.00046748,2.91312
-0.00046735,2.91312
-0.00046722,2.91211
-0.00046709,2.91279
-0.00046696,2.91279
-0.00046683,2.91245
-0.0004667,2.91279
-0.00046657,2.91279
-0.00046644,2.91245
-0.00046631,2.91245
-0.00046618,2.91211
-0.00046605,2.91279
-0.00046592,2.91279
-0.00046579,2.91279
-0.00046566,2.91245
-0.00046553,2.91279
-0.0004654,2.91245
-0.00046527,2.91312
-0.00046514,2.91245
-0.00046501,2.91346
-0.00046488,2.91312
-0.00046475,2.91312
-0.00046462,2.91279
-0.00046449,2.91211
-0.00046436,2.91279
-0.00046423,2.91245
-0.0004641,2.91245
-0.00046397,2.91211
-0.00046384,2.91211
-0.00046371,2.91245
-0.00046358,2.91245
-0.00046345,2.91279
-0.00046332,2.91245
-0.00046319,2.91211
-0.00046306,2.91279
-0.00046293,2.91211
-0.0004628,2.91211
-0.00046267,2.91279
-0.00046254,2.91279
-0.00046241,2.91279
-0.00046228,2.91312
-0.00046215,2.91245
-0.00046202,2.91245
-0.00046189,2.91279
-0.00046176,2.91312
-0.00046163,2.91279
-0.0004615,2.91279
-0.00046137,2.91245
-0.00046124,2.91245
-0.00046111,2.91279
-0.00046098,2.91312
-0.00046085,2.91245
-0.00046072,2.91279
-0.00046059,2.91245
-0.00046046,2.91211
-0.00046033,2.91279
-0.0004602,2.91211
-0.00046007,2.91245
-0.00045994,2.91245
-0.00045981,2.91279
-0.00045968,2.91312
-0.00045955,2.91211
-0.00045942,2.91245
-0.00045929,2.91279
-0.00045916,2.91245
-0.00045903,2.91245
-0.0004589,2.91245
-0.00045877,2.91245
-0.00045864,2.91245
-0.00045851,2.91245
-0.00045838,2.91312
-0.00045825,2.91312
-0.00045812,2.91245
-0.00045799,2.91279
-0.00045786,2.91279
-0.00045773,2.91312
-0.0004576,2.91346
-0.00045747,2.91312
-0.00045734,2.91279
-0.00045721,2.91245
-0.00045708,2.91279
-0.00045695,2.91245
-0.00045682,2.91211
-0.00045669,2.91178
-0.00045656,2.91279
-0.00045643,2.91279
-0.0004563,2.91279
-0.00045617,2.91245
-0.00045604,2.91312
-0.00045591,2.91245
-0.00045578,2.91279
-0.00045565,2.91312
-0.00045552,2.91279
-0.00045539,2.91245
-0.00045526,2.91211
-0.00045513,2.91245
-0.000455,2.91211
-0.00045487,2.91245
-0.00045474,2.91245
-0.00045461,2.91279
-0.00045448,2.91245
-0.00045435,2.91279
-0.00045422,2.91312
-0.00045409,2.91279
-0.00045396,2.91312
-0.00045383,2.91312
-0.0004537,2.91312
-0.00045357,2.91312
-0.00045344,2.91279
-0.00045331,2.91312
-0.00045318,2.91245
-0.00045305,2.91245
-0.00045292,2.91279
-0.00045279,2.91245
-0.00045266,2.91211
-0.00045253,2.91279
-0.0004524,2.91211
-0.00045227,2.91211
-0.00045214,2.91211
-0.00045201,2.91211
-0.00045188,2.91245
-0.00045175,2.91279
-0.00045162,2.91211
-0.00045149,2.91245
-0.00045136,2.91211
-0.00045123,2.91279
-0.0004511,2.91279
-0.00045097,2.91245
-0.00045084,2.91245
-0.00045071,2.91211
-0.00045058,2.91211
-0.00045045,2.91211
-0.00045032,2.91245
-0.00045019,2.91245
-0.00045006,2.91211
-0.00044993,2.91178
-0.0004498,2.91211
-0.00044967,2.91178
-0.00044954,2.91245
-0.00044941,2.91245
-0.00044928,2.91312
-0.00044915,2.91279
-0.00044902,2.91312
-0.00044889,2.91245
-0.00044876,2.91245
-0.00044863,2.91279
-0.0004485,2.91312
-0.00044837,2.91245
-0.00044824,2.91312
-0.00044811,2.91279
-0.00044798,2.91312
-0.00044785,2.91279
-0.00044772,2.91312
-0.00044759,2.91211
-0.00044746,2.91279
-0.00044733,2.91279
-0.0004472,2.91279
-0.00044707,2.91245
-0.00044694,2.91279
-0.00044681,2.91279
-0.00044668,2.91312
-0.00044655,2.91279
-0.00044642,2.91245
-0.00044629,2.91211
-0.00044616,2.91245
-0.00044603,2.91245
-0.0004459,2.91211
-0.00044577,2.91211
-0.00044564,2.91211
-0.00044551,2.91211
-0.00044538,2.91279
-0.00044525,2.91312
-0.00044512,2.91279
-0.00044499,2.91279
-0.00044486,2.91312
-0.00044473,2.91279
-0.0004446,2.91279
-0.00044447,2.91279
-0.00044434,2.91245
-0.00044421,2.91279
-0.00044408,2.91279
-0.00044395,2.91279
-0.00044382,2.91245
-0.00044369,2.91211
-0.00044356,2.91211
-0.00044343,2.91279
-0.0004433,2.91245
-0.00044317,2.91245
-0.00044304,2.91211
-0.00044291,2.91211
-0.00044278,2.91245
-0.00044265,2.91245
-0.00044252,2.91245
-0.00044239,2.91312
-0.00044226,2.91312
-0.00044213,2.91245
-0.000442,2.91245
-0.00044187,2.91312
-0.00044174,2.91312
-0.00044161,2.91279
-0.00044148,2.91312
-0.00044135,2.91279
-0.00044122,2.91312
-0.00044109,2.91312
-0.00044096,2.91279
-0.00044083,2.91312
-0.0004407,2.91312
-0.00044057,2.91245
-0.00044044,2.91245
-0.00044031,2.91312
-0.00044018,2.91279
-0.00044005,2.91279
-0.00043992,2.91279
-0.00043979,2.91279
