V1, Vout
-0.1,0.04
-0.0997997997998,0.04
-0.0995995995996,0.04
-0.0993993993994,0.04
-0.0991991991992,0.04
-0.098998998999,0.04
-0.0987987987988,0.04
-0.0985985985986,0.04
-0.0983983983984,0.04
-0.0981981981982,0.04
-0.097997997998,0.04
-0.0977977977978,0.04
-0.0975975975976,0.04
-0.0973973973974,0.04
-0.0971971971972,0.04
-0.096996996997,0.04
-0.0967967967968,0.04
-0.0965965965966,0.04
-0.0963963963964,0.04
-0.0961961961962,0.04
-0.095995995996,0.04
-0.0957957957958,0.04
-0.0955955955956,0.04
-0.0953953953954,0.04
-0.0951951951952,0.04
-0.094994994995,0.04
-0.0947947947948,0.04
-0.0945945945946,0.04
-0.0943943943944,0.04
-0.0941941941942,0.04
-0.093993993994,0.04
-0.0937937937938,0.04
-0.0935935935936,0.04
-0.0933933933934,0.04
-0.0931931931932,0.04
-0.092992992993,0.04
-0.0927927927928,0.04
-0.0925925925926,0.045
-0.0923923923924,0.04
-0.0921921921922,0.045
-0.091991991992,0.045
-0.0917917917918,0.045
-0.0915915915916,0.045
-0.0913913913914,0.045
-0.0911911911912,0.045
-0.090990990991,0.045
-0.0907907907908,0.045
-0.0905905905906,0.045
-0.0903903903904,0.045
-0.0901901901902,0.045
-0.08998998999,0.045
-0.0897897897898,0.045
-0.0895895895896,0.045
-0.0893893893894,0.045
-0.0891891891892,0.045
-0.088988988989,0.045
-0.0887887887888,0.045
-0.0885885885886,0.045
-0.0883883883884,0.045
-0.0881881881882,0.045
-0.087987987988,0.045
-0.0877877877878,0.045
-0.0875875875876,0.045
-0.0873873873874,0.045
-0.0871871871872,0.045
-0.086986986987,0.045
-0.0867867867868,0.045
-0.0865865865866,0.045
-0.0863863863864,0.045
-0.0861861861862,0.045
-0.085985985986,0.045
-0.0857857857858,0.045
-0.0855855855856,0.045
-0.0853853853854,0.045
-0.0851851851852,0.045
-0.084984984985,0.045
-0.0847847847848,0.045
-0.0845845845846,0.045
-0.0843843843844,0.045
-0.0841841841842,0.045
-0.083983983984,0.045
-0.0837837837838,0.045
-0.0835835835836,0.045
-0.0833833833834,0.045
-0.0831831831832,0.045
-0.082982982983,0.045
-0.0827827827828,0.045
-0.0825825825826,0.045
-0.0823823823824,0.045
-0.0821821821822,0.045
-0.081981981982,0.045
-0.0817817817818,0.045
-0.0815815815816,0.045
-0.0813813813814,0.045
-0.0811811811812,0.045
-0.080980980981,0.045
-0.0807807807808,0.05
-0.0805805805806,0.05
-0.0803803803804,0.05
-0.0801801801802,0.05
-0.07997997998,0.05
-0.0797797797798,0.05
-0.0795795795796,0.05
-0.0793793793794,0.05
-0.0791791791792,0.05
-0.078978978979,0.05
-0.0787787787788,0.05
-0.0785785785786,0.05
-0.0783783783784,0.05
-0.0781781781782,0.05
-0.077977977978,0.05
-0.0777777777778,0.05
-0.0775775775776,0.05
-0.0773773773774,0.05
-0.0771771771772,0.05
-0.076976976977,0.05
-0.0767767767768,0.05
-0.0765765765766,0.05
-0.0763763763764,0.05
-0.0761761761762,0.05
-0.075975975976,0.05
-0.0757757757758,0.05
-0.0755755755756,0.05
-0.0753753753754,0.05
-0.0751751751752,0.05
-0.074974974975,0.05
-0.0747747747748,0.05
-0.0745745745746,0.05
-0.0743743743744,0.05
-0.0741741741742,0.05
-0.073973973974,0.05
-0.0737737737738,0.05
-0.0735735735736,0.05
-0.0733733733734,0.05
-0.0731731731732,0.05
-0.072972972973,0.05
-0.0727727727728,0.05
-0.0725725725726,0.05
-0.0723723723724,0.05
-0.0721721721722,0.05
-0.071971971972,0.05
-0.0717717717718,0.05
-0.0715715715716,0.05
-0.0713713713714,0.05
-0.0711711711712,0.05
-0.070970970971,0.05
-0.0707707707708,0.05
-0.0705705705706,0.05
-0.0703703703704,0.05
-0.0701701701702,0.05
-0.06996996997,0.05
-0.0697697697698,0.05
-0.0695695695696,0.055
-0.0693693693694,0.05
-0.0691691691692,0.055
-0.068968968969,0.055
-0.0687687687688,0.055
-0.0685685685686,0.055
-0.0683683683684,0.055
-0.0681681681682,0.055
-0.067967967968,0.055
-0.0677677677678,0.055
-0.0675675675676,0.055
-0.0673673673674,0.055
-0.0671671671672,0.055
-0.066966966967,0.055
-0.0667667667668,0.055
-0.0665665665666,0.055
-0.0663663663664,0.055
-0.0661661661662,0.055
-0.065965965966,0.055
-0.0657657657658,0.055
-0.0655655655656,0.055
-0.0653653653654,0.055
-0.0651651651652,0.055
-0.064964964965,0.055
-0.0647647647648,0.055
-0.0645645645646,0.055
-0.0643643643644,0.055
-0.0641641641642,0.055
-0.063963963964,0.055
-0.0637637637638,0.055
-0.0635635635636,0.055
-0.0633633633634,0.055
-0.0631631631632,0.055
-0.062962962963,0.055
-0.0627627627628,0.055
-0.0625625625626,0.055
-0.0623623623624,0.055
-0.0621621621622,0.055
-0.061961961962,0.06
-0.0617617617618,0.055
-0.0615615615616,0.06
-0.0613613613614,0.06
-0.0611611611612,0.06
-0.060960960961,0.06
-0.0607607607608,0.06
-0.0605605605606,0.06
-0.0603603603604,0.06
-0.0601601601602,0.06
-0.05995995996,0.06
-0.0597597597598,0.06
-0.0595595595596,0.06
-0.0593593593594,0.06
-0.0591591591592,0.06
-0.058958958959,0.06
-0.0587587587588,0.06
-0.0585585585586,0.06
-0.0583583583584,0.06
-0.0581581581582,0.06
-0.057957957958,0.06
-0.0577577577578,0.06
-0.0575575575576,0.06
-0.0573573573574,0.06
-0.0571571571572,0.06
-0.056956956957,0.06
-0.0567567567568,0.06
-0.0565565565566,0.06
-0.0563563563564,0.06
-0.0561561561562,0.06
-0.055955955956,0.06
-0.0557557557558,0.06
-0.0555555555556,0.06
-0.0553553553554,0.06
-0.0551551551552,0.06
-0.054954954955,0.06
-0.0547547547548,0.06
-0.0545545545546,0.065
-0.0543543543544,0.065
-0.0541541541542,0.065
-0.053953953954,0.065
-0.0537537537538,0.065
-0.0535535535536,0.065
